Via,Longitud en kilometros,Vigente desde,Motos,Autos,Autobuses 2 ejes,Autobuses 3 ejes,Autobuses 4 ejes,Camiones 2 ejes,Camiones 3 ejes,Camiones 4 ejes,Camiones 5 ejes,Camiones 6 ejes,Camiones 7 ejes,Camiones 8 ejes,Camiones 9 ejes
Acayucan - Cosoleacaque,40,29/08/2012,27,55,90,90,90,90,90,90,125,125,130,130,130
Lagos de Moreno - Villa de Arriaga,66.048,17/07/2012,45,90,175,175,175,175,175,175,250,250,350,350,350
Las Choapas - Ocozocuautla,198,29/08/2012,90,180,330,330,330,330,330,330,435,435,600,600,600
Ent. Las Choapas - Ent. Nuevo Sacrificio,63.2,29/08/2012,30,60,110,110,110,110,110,110,145,145,200,200,200
Ent. Las Choapas - Ent. Las Choapas II,17,29/08/2012,10,20,30,30,30,30,30,30,35,35,45,45,45
Ent. Las Choapas II - Ent. Nuevo Sacrificio,46.2,29/08/2012,22,45,80,80,80,80,80,80,110,110,155,155,155
Ent. Nuevo Sacrificio - Ent. Raudales,70.8,29/08/2012,30,60,110,110,110,110,110,110,145,145,200,200,200
Ent. Nuevo Sacrificio - Ent. Malpasito,49.6,29/08/2012,16,33,60,60,60,60,60,60,80,80,105,105,105
Ent. Malpasito - Ent. Raudales,21.2,29/08/2012,14,28,55,55,55,55,55,55,70,70,100,100,100
Ent. Raudales - Ocozocuautla,64,29/08/2012,30,60,110,110,110,110,110,110,145,145,200,200,200
León - Aguascalientes,103.85,17/01/2014,121,243,348,348,348,345,345,345,453,453,500,500,500
Unión de San Antonio - Lagos de Moreno,19,17/01/2014,14,28,39,39,39,39,39,39,51,51,57,57,57
LIbramiento Amecameca - Nepantla,26.81,26/03/2014,21,42,65,65,65,65,65,65,90,90,125,125,125
León - Lagos de Moreno,60.05,17/01/2014,60,120,169,169,169,168,168,168,217,217,240,240,240
León - Ent. Central de Abastos,12,17/01/2014,11,23,34,34,34,33,33,33,44,44,52,52,52
León - San Francisco del Rincón,19,17/01/2014,19,39,52,52,52,49,49,49,68,68,82,82,82
Ent. Lagos de Moreno - Aguascalientes,43.8,17/01/2014,61,123,179,179,179,177,177,177,236,236,261,261,261
Encarnación de Díaz - Aguascalientes,15.11,17/01/2014,25,51,82,82,82,77,77,77,101,101,110,110,110
Libramiento de Culiacán,22,31/01/2014,13,27,45,45,45,47,47,47,53,53,68,68,68
Libramiento de Fresnillo,20.05,10/02/2014,15,31,64,64,64,64,64,88,88,105,132,132,132
Libramiento de Fresnillo,20.05,10/02/2014,15,31,64,64,64,64,64,88,88,105,132,132,132
Ent. La Providencia - Morfín Chávez,7.02,10/02/2014,8,16,31,31,31,31,31,44,44,44,44,44,44
Morfín Chávez - Ent. San Isidro,13.03,10/02/2014,8,16,31,31,31,31,31,44,44,44,44,44,44
Libramiento de Irapuato,29.2,01/02/2014,31,63,123,123,123,90,90,90,132,132,181,181,181
Entronque ITESI - Arandas,5.81,01/02/2014,6,12,25,25,25,19,19,19,26,26,37,37,37
Arandas - San Cristobal,13.76,01/02/2014,14,29,58,58,58,47,47,47,66,66,88,88,88
Entronque ITESI - San Cristobal,19.57,01/02/2014,21,42,82,82,82,59,59,59,88,88,120,120,120
San Cristobal - Entronque Carretera 90,9.63,01/02/2014,10,21,41,41,41,31,31,31,44,44,61,61,61
Libramiento de la Piedad,21.388,14/01/2014,22,43,68,68,68,68,68,68,111,111,140,140,140
Laguna Larga - Patti II,21.388,14/01/2014,22,43,68,68,68,68,68,68,111,111,140,140,140
Laguna Larga - Calera,5.3,14/01/2014,6,11,17,17,17,17,17,17,28,28,35,35,35
Calera - Patti II,16.08,14/01/2014,16,32,52,52,52,52,52,52,83,83,106,106,106
Libramiento de Matehuala,14.2,01/01/2014,10,21,37,37,37,37,37,37,70,70,103,103,103
Libramiento de Mexicali (T Cuernavaca - T El Centinela),41,01/01/2014,34,68,117,117,117,117,117,117,168,168,201,201,201
Libramiento de Mexicali,41,01/01/2014,34,68,117,117,117,117,117,117,168,168,201,201,201
Entronque Cuernavaca - Entronque San Felipe,12,01/01/2014,10,20,34,34,34,34,34,34,50,50,58,58,58
Entronque San Felipe - Entronque Centinela,29,01/01/2014,24,48,83,83,83,83,83,83,118,118,143,143,143
Libramiento de Nogales,12.5,01/01/2014,26,52,104,104,104,104,104,185,185,209,209,209,209
Libramiento de Tecpan,4.369,01/01/2014,15,28,55,55,55,55,55,55,82,82,110,110,110
Libramiento de Víctor Rosales,5.9,10/02/2014,9,18,28,28,28,45,45,75,75,86,105,105,105
Libramiento Noreste de Querétaro,37,29/08/2012,20,40,65,65,65,65,65,65,70,70,90,90,90
Ent. Aut. Méx/Qro - Qro - Ent. Aut. Qro/SLP,37,29/08/2012,20,40,65,65,65,65,65,65,70,70,90,90,90
Ent. Atlacomulco - Ent. Puebla,223.85,01/02/2014,190,380,660,660,660,660,660,660,952,952,"1,480.00","1,480.00","1,480.00"
Libramiento Norte de la Ciudad de México,223.85,01/02/2014,190,380,660,660,660,660,660,660,952,952,"1,480.00","1,480.00","1,480.00"
Ent. Atlacomulco - Ent. Texmelucan,219.85,01/02/2014,187,375,650,650,650,650,650,650,934,934,"1,457.00","1,457.00","1,457.00"
Ent. Atlacomulco - Ent. Sanctórum,192.85,01/02/2014,162,324,565,565,565,565,565,565,822,822,"1,272.00","1,272.00","1,272.00"
Ent. Atlacomulco - Ent. Calpulalpan,178.39,01/02/2014,150,301,527,527,527,527,527,527,760,760,"1,182.00","1,182.00","1,182.00"
Ent. Atlacomulco - Ent. Cd. Sahagún,160.57,01/02/2014,136,273,471,471,471,471,471,471,687,687,"1,065.00","1,065.00","1,065.00"
Ent. Atlacomulco - Ent. Tulancingo,149.15,01/02/2014,127,255,438,438,438,438,438,438,635,635,985,985,985
Ent. Atlacomulco - Ent. Pachuca,125.37,01/02/2014,108,217,370,370,370,370,370,370,540,540,835,835,835
Ent. Atlacomulco - Ent. Ajoloapan,106.84,01/02/2014,89,179,308,308,308,308,308,308,460,460,707,707,707
Ent. Atlacomulco - Ent. Atitalaquia,84.66,01/02/2014,73,146,246,246,246,246,246,246,365,365,562,562,562
Ent. Atlacomulco - Ent. Tula I,77.18,01/02/2014,68,136,223,223,223,223,223,223,332,332,517,517,517
Ent. Atlacomulco - Ent. Tula II,67.48,01/02/2014,59,118,190,190,190,190,190,190,287,287,450,450,450
Ent. Atlacomulco - Ent. Querétaro,47.84,01/02/2014,42,85,134,134,134,134,134,134,207,207,315,315,315
Ent. Atlacomulco - Ent. Jilotepec,40,01/02/2014,37,75,116,116,116,116,116,116,169,169,270,270,270
Ent. Atlacomulco - Ent. Acambay,12.5,01/02/2014,11,23,33,33,33,33,33,33,52,52,85,85,85
Ent. Acambay - Ent. Puebla,211.35,01/02/2014,178,357,627,627,627,627,627,627,900,900,"1,395.00","1,395.00","1,395.00"
Ent. Acambay - Ent. Texmelucan,207.35,01/02/2014,176,352,617,617,617,617,617,617,882,882,"1,372.00","1,372.00","1,372.00"
Ent. Acambay - Ent. Sanctórum,180.35,01/02/2014,150,301,532,532,532,532,532,532,770,770,"1,187.00","1,187.00","1,187.00"
Ent. Acambay - Ent. Calpulalpan,165.89,01/02/2014,139,278,494,494,494,494,494,494,708,708,"1,097.00","1,097.00","1,097.00"
Ent. Acambay - Ent. Cd. Sahagún,148.07,01/02/2014,125,250,438,438,438,438,438,438,635,635,980,980,980
Ent. Acambay - Ent. Tulancingo,136.65,01/02/2014,116,232,405,405,405,405,405,405,583,583,900,900,900
Ent. Acambay - Ent. Pachuca,112.87,01/02/2014,97,194,337,337,337,337,337,337,488,488,750,750,750
