"","cve_mun","Agave","Aguacate","Arroz palay","Avena forrajera en verde","Cacao","Canola","Cebada grano","Chile verde","Frambuesa","Fresa","Frijol","Girasol","Higuerilla","Jatropha","Mango","Manzana","Naranja","Nuez","Palma africana o de aceite","Papaya","Sorgo grano","Soya","Tomate rojo (jitomate)","Toronja (pomelo)","Trigo grano","Uva","Vainilla","Zarzamora"
"166","07091",,,,,,,,,,,25257.44,,,,,,,,,,,,,,,,,
"167","07092",,,,,41400,,,,,,22700,,,,1650,,1400,,,,,,,,,,,
"168","07093",,6511.41,,,,,,,,,11499.22,,,,,8516.29,1888.65,,,,,,,,,,,
"169","07094",,12202.42,,,,,,,,,22593.74,,,,,8549.13,1985.15,,,,,,,,,,,
"170","07096",,,,,,,,,,,28236.34,,,,,,1815.31,,,,,,,,,,,
"171","07097",,,,,,,,,,,,,,,1725.61,,,,,,7140,,,,,,,
"172","07098",,3430,,,,,,,,,,,,,1892.98,,,,,,,,,,,,,
"173","07099",,17463.53,,,,,,,,,37354.95,,,,,,2882.43,,,,3595.55,,12313.93,,,,,
"174","07100",,,,,47035.71,,,,,,27250,,,,,,1824.47,,,,,,,,,,,
"175","07101",,,,,,,,,,,11250,,,,,,,,,,3117.04,,,,,,,
"176","07102",,,,,60849.99,,,,,,,,,,11116.89,,,,,,,15018.53,,,,,,
"177","07103",,3809.5,,,31660.65,,,,,,9556.13,,,,5540.77,,,,1520.02,,,,,,,,,
"178","07104",,16500,,,,,,,,,12577.69,,,,,,,,,,,,,,,,,
"179","07106",,,,,,,,18423.73,,,11927.9,,,,,,,,,,,,11247.51,,,,,
"180","07107",,,,,,,,8142.7,,,30421.95,,,,3556.38,,,,,4832.9,2590.81,,7500,,,,,
"181","07108",,,,,,,,16260.83,,,47452.65,,,,6370.55,,2550,,,3706.71,10764.15,,16329.46,,,,,
"182","07109",,,,,,,,,,,27602.56,,,,,,1800.48,,,,,,,,,,,
"183","07110",,6494.35,,,,,,,,,,,,,1306.57,,,,,,,,,,,,,
"184","07111",,12465.58,,,,,,,,,11587.17,,,,,8460.64,,,,,,,,,,,,
"185","07112",,0,,,,,,,,,11422.33,,,,,,1946.74,,,,,,,,,,,
"186","07113",,0,,,,,,,,,11476.34,,,,,8551.88,1883.68,,,,,,,,,,,
"187","07114",,,,,,,,2699.35,,,24228.7,,,,,,,,1609.93,,,,,,,,,
"188","07115",,,,,25191.14,,,8684.21,,,24336.36,,,,,,,,,,,,,,,,,
"189","07116",,,,,,,,2734.9,,,23866.97,,,,,,,,1558.81,,,,,,,,,
"190","07117",,,,,,,,,,,15273.02,,,,,,,,,,,,,,,,,
"191","07118",,,,,,,,,,,26127.98,,,,,,,,,,,,,,,,,
"192","07119",,0,,,,,,,,,11489.87,,,,,8493.09,1961.72,,,,,,,,,,,
"193","08001",,,,330,,,,7485.16,,,34000,,,,,,,80368,,,6390,,,,3412.49,,,
"194","08002",,,,1255,,,,9387.21,,,29214.29,,,,,,,80324,,,,,,,3660,9200,,
"195","08003",,,,800,,,,8225.59,,,31000,,,,,,,77052.05,,,,,,,,,,
"196","08004",,,,550,,,,,,,13000,,,,,,,,,,,,,,,,,
"197","08005",,,,,,,,7486.76,,,15000,,,,,,,80288,,,3150,,,,3576.33,,,
"198","08006",,,,448.88,,,,,,,30000,,,,,9475.07,,,,,,,,,,,,
"199","08007",,,,987,,,,15405.88,,,12500,,,,,3000,,80350,,,,,,,,,,
"200","08009",,,,556.72,,,,,,,14900,,,,,3128.94,,,,,,,,,,,,
"201","08010",,,,,,,,11569.71,,,33000,,,,,6000,,160647,,,5833.45,,,,3600,,,
"202","08011",,,,566.9,,,,6098.75,,,,,,,,,,80338,,,,,,,3500,,,
"203","08012",,,,540,,,,,,,17556.12,,,,,9247.75,,,,,,,,,,,,
"204","08013",,,,260,,,,8267.8,,,25800,,,,,8000,,80280,,,2950,,,,3600,,,
"205","08014",,,,845,,,,4356.15,,,16000,,,,,,,80340,,,,,,,,,,
"206","08015",,,,649,,,,,,,,,,,,,,80345,,,,,,,,,,
"207","08016",,,,465,,,,7805.9,,,,,,,,,,80334,,,,,,,,,,
"208","08017",,,,1947.59,,,,,,36424,45974.56,,,,,19147.92,,,,,,,42155.58,,4055,,,
"209","08018",,,,863,,,,,,,32029.09,,,,,9520.85,,,,,,,,,,,,
"210","08019",,,,1800,,,,8800,,,28633.33,,,,,7000,,80327,,,,,19157.65,,3700,9800,,
"211","08020",,,,495,,,,,,,,,,,,,,,,,,,,,,,,
"212","08021",,,,585.7,,,,6967.12,,,,,,,,,,80330,,,,7650,9902.58,,3650,,,
"213","08022",,,,555,,,,,,,13500,,,,,,,,,,,,,,,,,
"214","08023",,,,,,,,4050,,,16000,,,,,,,80284,,,2900,,,,3600,,,
