"","cve_mun","Agave","Aguacate","Arroz palay","Avena forrajera en verde","Cacao","Canola","Cebada grano","Chile verde","Frambuesa","Fresa","Frijol","Girasol","Higuerilla","Jatropha","Mango","Manzana","Naranja","Nuez","Palma africana o de aceite","Papaya","Sorgo grano","Soya","Tomate rojo (jitomate)","Toronja (pomelo)","Trigo grano","Uva","Vainilla","Zarzamora"
"237","08046",,,,,,,,,,,107.5,,,,,,,,,,,,,,,,,
"238","08047",,,,375,,,,,,,268,,,,,10.15,,,,,,,,,,,,
"239","08048",,,,33740,,,,3,,,36947,,,,,5437,,,,,,,,,47,2,,
"240","08049",,,,380,,,,,,,195,,,,,,,,,,,,,,,,,
"241","08050",,,,,,,,765,,,510,,,,,48.4,,884.2,,,150,,,,1148,,,
"242","08051",,,,,,,,,,,204,,,,,58.13,,,,,,,,,,,,
"243","08052",,,,1300,,,,1745,,,1300,,,,,,,707,,,,,,,2000,,,
"244","08053",,,,31,,,,,,,,,,,,,,65,,,,,,,310,,,
"245","08054",,,,11300,,,250,,,,10520,,,,,1197,,,,,,,,,170,,,
"246","08055",,,,127.18,,,,748,,,,,,,,,,3266.78,,,,,9.2,,80,7,,
"247","08056",,,,158,,,,,,,26,,,,,,,57.9,,,,,,,,,,
"248","08057",,,,375,,,,,,,235,,,,,12,,26,,,,,,,,,,
"249","08058",,,,40,,,,455,,,,,,,,,,1983,,,,,,,19,,,
"250","08059",,,,98,,,,,,,5,,,,,,,,,,,,,,,,,
"251","08060",,,,502,,,,,,,79.32,,,,,,,157.45,,,,,,,40,,,
"252","08061",,,,765,,,,,,,330,,,,,,,575,,,,,,,,4,,
"253","08062",,,,115.43,,,,708,,,5,,,,,,,3877.34,,,,,21,,422,,,
"254","08063",,,,2425,,,,,,,510,,,,,121,,,,,,,,,,,,
"255","08064",,,,123,,,,,,,43,,,,,,,23.25,,,,,,,,,,
"256","08065",,,,100,,,,,,,,,,,,107.54,,,,,,,,,,,,
"257","08066",,,,,,,,,,,236,,,,,7.78,,,,,,,,,,,,
"258","08067",,,,1257,,,,1,,,323,,,,,,,330.99,,,,,,,,,,
"259","09004",,,,5,,,,,1.75,,3.1,,,,,3.32,,1.25,,,,,,,,,,3.8
"260","09008",,,,85,,,,,1,,9.9,,,,,13.1,,,,,,,1.64,,,,,1
"261","09009",,,,1457,,,,,,,38.3,,,,,81.5,,1,,,,,,,,,,
"262","09010",,,,7.8,,,,,,,2.1,,,,,9.43,,,,,,,,,,,,
"263","09011",,,,41,,,,3.5,,,20,,,,,15.55,,0.75,,,,,,,,,,
"264","09012",,,,3931,,,,,,,5,,,,,5.5,,,,,,,,,,,,
"265","09013",,,,219.5,,,,0.6,,,7,,,,,3.7,,,,,,,,,,,,
"266","10001",,,,12186.3,,,,,,,16653,,,,,5347,,,,,,,3.29,,,,,
"267","10002",,31.5,,1336,,,,,,,70,,,,6,22,12.5,,,,,,,,2,,,
"268","10003",,,,1120,,,,9,,,1130,,,,,,,,,,,,,,,,,
"269","10004",,,,4991.5,,,6442,15.5,,,39304,,,,,,,0.5,,,409,,0.01,,241,,,
"270","10005",8,,,13969,,,110,35.5,,,8000,,,,,17,,1241,,,226,,40,,,,,
"271","10006",,,,412,,,,142,,,7744,,,,,,,16,,,350,,,,,,,
"272","10007",,,,4657,,,,194.32,,,,,,,,,,1056.1,,,,,52,,,,,
"273","10008",,,,1705,,,3779,,,,43315,,,,,,,36.5,,,,,1,,3,,,
