"","cve_mun","Agave","Aguacate","Arroz palay","Avena forrajera en verde","Cacao","Canola","Cebada grano","Chile verde","Frambuesa","Fresa","Frijol","Girasol","Higuerilla","Jatropha","Mango","Manzana","Naranja","Nuez","Palma africana o de aceite","Papaya","Sorgo grano","Soya","Tomate rojo (jitomate)","Toronja (pomelo)","Trigo grano","Uva","Vainilla","Zarzamora"
"1953","29007",,,,1160656,,,297660,,,,36480,,,,,,,,,,,,1288200.73,,5474906.78,,,
"1954","29008",,,,2605073.91,,,5104474.63,,,45647500,2014200,,,,,,,,,,,,2659887.52,,1856295,,,
"1955","29009",,,,795138.9,,,,,,,345138.85,,,,,129870,,,,,,,,,,,,
"1956","29010",,,,541567.66,,,,,,,293013.97,,,,,,,,,,,,,,,,,
"1957","29011",,,,82422,,,6065425.97,,,,598118.55,,,,,223104,,,,,,,,,4044846.64,,,
"1958","29012",,,,2484696.47,,,31557762.72,,,,1062950.94,,,,,166005,,,,,,,282170,,13095558.88,,,
"1959","29013",,,,7236253,,18000,1199260.24,,,69672500,555000,,,,,0,,,,,,,4384503.9,,9166089.6,,,
"1960","29014",,,,2786015.89,,,44590433.18,,,,1063165.64,,,,,110080,,,,,,,,,16373608,,,
"1961","29015",,,,3358160.39,,49500.8,1782808,673200,,,3769195.47,,,,,,,,,,,,,,10653300,,,
"1962","29016",,,,,,,,,,,45980,,,,,,,,,,,,,,,,,
"1963","29017",,,,117883.47,,,,,,,72157.52,,,,,,,,,,,,,,,,,
"1964","29018",,,,108216.72,,,,,,,167090,,,,,,,,,,,,,,,,,
"1965","29019",,,,1145743.37,,,,225000,,,1376883.54,,,,,,,,,,,,516425.36,,,,,
"1966","29020",,,,2784956.24,,8038.4,17981441.55,,,,926131.2,,,,,,,,,,,,561192,,4770621.88,,,
"1967","29021",,,,124006.26,,8112,14329280.22,,,,1746646.2,,,,,,,,,,,,,,8091180.55,,,
"1968","29022",,,,153754.99,,,,,,,73156.48,,,,,,,,,,,,,,,,,
"1969","29023",,,,2825912.88,,,,,,,1793857.05,,,,,,,,,,,,,,,,,
"1970","29024",,,,1967162.55,,39759.48,,,,,1394656.04,,,,,,,,,,,,,,,,,
"1971","29025",,,,67945.37,,,,,,,106303.6,,,,,,,,,,,,,,,,,
"1972","29026",,,,574324.8,,16775,,,,,196077.99,,,,,,,,,,,,,,,,,
"1973","29027",,,,44286.62,,,,,,,90994.22,,,,,,,,,,,,,,,,,
"1974","29028",,,,542929.97,,,,,,,392912.1,,,,,,,,,,,,,,,,,
"1975","29029",,3220000,,121220.5,,,,,,,207449.07,,,,,,,,,,,,,,,,,
"1976","29030",,,,484108.43,,,21939738.4,,,,,,,,,,,,,,,,1265369.76,,16689129.67,,,
"1977","29031",,,,2857069.6,,,22404787.41,,,,701598.55,,,,,,,,,,,,,,10879357.5,,,
"1978","29032",,,,1321502.35,,,,,,,544168.15,,,,,,,,,,,,,,,,,
"1979","29033",,,,164683.89,,,,,,,862421.96,,,,,,,,,,,,,,,,,
"1980","29034",,,,3234583.8,,,74587082.17,,,,3940060.8,,,,,,,,,,,,1119176,,45289640.44,,,
"1981","29035",,,,73062,,,734185.15,,,,,,,,,,,,,,,,,,,,,
"1982","29036",,,,41855.86,,,,,,,211441.5,,,,,,,,,,,,,,,,,
"1983","29037",,,,,,,1300860.48,,,,,,,,,,,,,,,,,,1645488,,,
"1984","29038",,,,126896,,,,,,,,,,,,,,,,,,,,,1443643.11,,,
"1985","29039",,,,161374.32,,,2615728.52,,,,,,,,,,,,,,,,3769019.1,,2073051.49,,,
"1986","29040",,,,509340.59,,,748638.4,,,,231794.23,,,,,,,,,,,,,,2058869.12,,,
"1987","29041",,,,75525.72,,,,,,,98762.61,,,,,,,,,,,,,,,,,
"1988","29042",,,,44070.02,,,,,,,70722.49,,,,,,,,,,,,,,,,,
"1989","29043",,,,117078.85,,,,,,,231553.25,,,,,,,,,,,,,,,,,
