Clave,Carretera,Tramo,Ruta,Logitud,Clasificación
920,Fresnillo – Valparaiso,Fresnillo – Valparaiso,44,91.1,D
930,Gómez Palacio-Jiménez,Gómez Palacio-Jiménez,49,235.6,NA
930,Gómez Palacio-Jiménez,Gómez Palacio-Bermejillo,49,38.7,ET4
930,Gómez Palacio-Jiménez,Bermejillo-Jiménez,49,196.9,C
931,Gomez Palacios -Jiménez (Directo) (Ent. Bermejillo -Corralitos),Gomez Palacios -Jiménez (Directo) (Ent. Bermejillo -Corralitos),49D,194,ET4
932,Gómez Palacio-Tlahualilo,Gómez Palacio-Tlahualilo,40,72.9,D
940,Guadalajara-Chapala (Ent. Sta. Rosa),Guadalajara-Chapala (Ent. Sta. Rosa),35,25,B4
945,Guadalajara-Tepic,Guadalajara-Tepic,15,206.53,NA
945,Guadalajara-Tepic,Gudalajara-Ent. Ameca,15,17.7,ET4
945,Guadalajara-Tepic,Ent. Ameca-San Cayetano,15,185.73,D
945,Guadalajara-Tepic,San Cayetano-Tepic,15,3.1,ET2
950,Guadalajara-Tepic (Directo) (Ent. Ameca-San Cayetano),Guadalajara-Tepic (Directo) (Ent. Ameca-San Cayetano),15D,167.3,ET4
960,Guadalajara-Malpaso (Ent. Tesistán-Malpaso),Guadalajara-Malpaso (Ent. Tesistán-Malpaso),23,292.2,NA
960,Guadalajara-Malpaso (Ent. Tesistán-Malpaso),Ent. Tesistán -San Cristóbal De La Barranca,23,47.5,D
960,Guadalajara-Malpaso (Ent. Tesistán-Malpaso),San Cristóbal De La Barranca-Malpaso,23,244.7,B2
970,Guadalajara - Zacatecas,Guadalajara - Zacatecas,54,311.8,B2
980,Guadalupe Aguilera-Guanacevi/Con Ramal A Los Herrera,Guadalupe Aguilera-Guanacevi/Con Ramal A Los Herrera,23,336.5,NA
980,Guadalupe Aguilera-Guanacevi/Con Ramal A Los Herrera,Guadalupe Aguilera-Tepehuanes,23,169,B2
980,Guadalupe Aguilera-Guanacevi/Con Ramal A Los Herrera,Tepehuanes-Guanacevi,23,87.5,D
980-R,Ramal Los Herrera-Joyas Del Yaqui,Ramal Los Herrera-Joyas Del Yaqui,23,80,D
990,Se Deroga,Se Deroga,NA,NA,NA
990,Se Deroga,Se Deroga,NA,NA,NA
1000,Guanajuato - Los Infantes,Guanajuato - Los Infantes,110,NA,NA
1000,Guanajuato - Los Infantes,Santa Teresa – Los Infantes,110,9.23,D
1010,Guanajuato-Silao,Guanajuato-Silao,110,23.1,NA
1010,Guanajuato-Silao,Guanajuato-Marfil,110,6,D
1010,Guanajuato-Silao,Marfil-Silao,110,17.1,D
1015,Haltunchén-Ent. Cayal,Haltunchén-Ent. Cayal,188,74.7,D
1020,Se Deroga,Se Deroga,NA,NA,NA
1025,Haltuchén-Campeche (Directo) (Villa Madero-Ent. Lib. Campeche),Haltuchén-Campeche (Directo) (Villa Madero-Ent. Lib. Campeche),180D,31,ET4
1030,Se Deroga,Se Deroga,NA,NA,NA
1040,Hermosillo-Nogales,Hermosillo-Nogales,15,285.4,NA
1040,Hermosillo-Nogales,Hermosillo-Nogales,15,272.2,ET4
1040-L,Libramiento Magdalena De Kino (Directo),Libramiento Magdalena De Kino (Directo),15,13.2,ET4
1050,Hermosillo – Yepachic,Hermosillo – Yepachic,16,325.6,C
1055,Hidalgo Del Parral-Puerto Sabinal,Hidalgo Del Parral-Puerto Sabinal,24,208.07,D
1060,Huajuapan De León-Oaxaca,Huajuapan De León-Oaxaca,190,190.6,NA
1060,Huajuapan De León-Oaxaca,Huajuapan De León-Nochixtlán,190,90.4,B2
1060,Huajuapan De León-Oaxaca,Nochixtlán-San Francisco Telixtlahuaca,190,71.33,C
1060,Huajuapan De León-Oaxaca,San Francisco Telixtlahuaca-San Pablo Etla,190,12.67,D
1060,Huajuapan De León-Oaxaca,San Pablo Etla-Oaxaca,190,16.2,ET4
1070,Huajumbaro – Zinapecuaro,Huajumbaro – Zinapecuaro,51,34.4,D
1080,Huixtla – Ciudad Cuauhtemoc,Huixtla – Ciudad Cuauhtemoc,211,126,B2
1085,Ignacio Zaragoza-Ent. (Carr. Cd. Victoria-Monterrey) (La Aurora),Ignacio Zaragoza-Ent. (Carr. Cd. Victoria-Monterrey) (La Aurora),83,94.3,ET2
1090,Iguala – Ciudad Altamirano,Iguala – Ciudad Altamirano,51,182.3,B2
1100,Imuris-Agua Prieta,Imuris-Agua Prieta,2,164.7,NA
